Name,Glass,Main Alcohol,Ingredients,Ingredients2,Ingredients3,Ingredients4,Ingredients5,Ingredients6,Ingredients7,Garnish,Alcoholicity,Taste(Sweet),Technique,Color,TPO,VideoLink,Tag,설명,ImageURL
Banshee,Cocktail stemmed,"Creme de Banana, 30ml","White Creme de Cacao, 30ml","Cream, 30ml",,,,,,Nutmeg Powder,3,3,Shake,White,No,https://www.youtube.com/watch?v=AJyz9cedw9g,밴시,,https://ik.imagekit.io/jkv0tchsv6/liquoronlineuk/assets/images/uploads/2018/banshee-cocktail-recipe.jpg
Golden Dream,Cocktail stemmed,"Galliano, 20ml","TripleSec, 20ml","Orange Juice, 20ml","Cream, 10ml",,,,,,3,3,Shake,Beige,No,https://www.youtube.com/watch?v=AIJirnA8z8E,골든 드림,,https://www.liquor.com/thmb/R_TKbJD2F687rDFz5KRTe7WDikY=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/golden-dream-720x720-primary-daf1cbf380ae4f0d8f55f05530948e91.jpg
Pink Squirrel,Cocktail stemmed,"Creme de Almond, 15ml","White Creme de Cacao, 15ml","Cream, 60ml",,,,,,Maraschino cherry,2,3,Shake,Pink,No,https://www.youtube.com/watch?v=k4p1-zF1L4s,핑크 스쿼럴,,https://www.acouplecooks.com/wp-content/uploads/2021/03/Pink-Squirrel-010.jpg
Grasshopper,Cocktail stemmed,"Green Creme de Menthe, 15ml","White Creme de Cacao, 15ml","Cream, 60ml",,,,,,Chocolate Powder,2,3,Shake,Green,No,https://www.youtube.com/watch?v=teH8hC_0HaU,그래스호퍼,,https://craftybartending.com/wp-content/uploads/2018/04/Grasshopper-cocktail.jpg
Pink Lady,Cocktail stemmed,"Gin, 30ml","Grenadine, 15ml","Cream, 45ml",,,,,,Maraschino cherry,2,4,Shake,Pink,No,https://www.youtube.com/watch?v=Fv3TxUhSMuE,핑크 레이디,,https://www.thespruceeats.com/thmb/eMwonJ7c_qM9OqmV4AOTiXvcCi4=/3000x3000/smart/filters:no_upscale()/_pink-lady-recipe-759333-hero-5bd07acd46e0fb002631fae0.jpg
Toasted Almond,Highball,"Amaretto, 15ml","Kahlua, 15ml","Cream, 60ml",,,,,,Chocolate Powder,2,4,Shake,Beige,No,https://www.youtube.com/watch?v=turO8u6oMww,토스트드 아몬드,,https://www.thedrinkkings.com/wp-content/uploads/2016/11/Choocolate-Toasted-Almond-Cocktail-14-630.jpg
Dry Martini,Martini,"Gin, 60ml","Dry Vermouth, 10ml",,,,,,,Olive,4,1,Stir,Colorless,Yes,https://www.youtube.com/watch?v=RBkvLOEPqwA,"드라이 마티니, 마티니",,http://shake-that.com/wp-content/uploads/2015/07/Dry-Martini.jpg
Gibson,Martini,"Gin, 60ml","Dry Vermouth, 10ml",,,,,,,Onion,4,1,Stir,Colorless,No,https://www.youtube.com/watch?v=PLUCr9agKbY,깁슨,,"https://www.liquor.com/thmb/lB1pI5aOzwtriDNDyWPffAAILLY=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__08__23101503__gibson-720x720-recipe-29c40dea629049b09d096da221cdd618.jpg"
Manhattan,Martini,"Bourbon, 45ml","Sweet Vermouth, 22.5ml","Angostura Bitter, 1 dash",,,,,,Maraschino cherry,4,2,Stir,Brown,Yes,https://www.youtube.com/watch?v=3Z4UoRUKdcI,"맨하탄, 맨해튼",,https://www.liquor.com/thmb/zJ7_To3UNS5DNJ0aeyc4dVHUAac=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2018__05__10144903__Manhattan-720x720-recipe-9497922907c14d91898f557cb51f2ea3.jpg
Dry Manhattan,Martini,"Bourbon, 45ml","Dry Vermouth, 22.5ml","Angostura Bitter, 1 dash",,,,,,Maraschino cherry,4,1,Stir,Brown,No,https://www.youtube.com/watch?v=DfocvGrgOZQ,"드라이 맨하탄, 드라이 맨해튼",,https://cdn1.foodviva.com/static-content/food-images/martini-recipes/dry-manhattan-martini-recipe/dry-manhattan-martini-recipe.jpg
Perfect Manhattan,Martini,"Bourbon, 45ml","Sweet Vermouth, 22.5ml","Dry Vermouth, 22.5ml","Angostura Bitter, 1 dash",,,,,Maraschino cherry,4,1,Stir,Brown,No,https://www.youtube.com/watch?v=JFZuPJn9hCI,"퍼펙트 맨하탄, 퍼펙트 맨해튼",,https://www.liquor.com/thmb/iw870jDoIqAh6aPTx6clUhCfsQ8=/720x720/smart/filters:no_upscale()/perfect-manhattan-720x720-primary-55adc2b130da4f69b4ff037eaa572580.jpg
Rob Roy,Martini,"Scotch, 45ml","Sweet Vermouth, 22.5ml","Angostura Bitter, 1 dash",,,,,,Maraschino cherry,4,2,Stir,Brown,No,https://www.youtube.com/watch?v=GUOfVnNGkng,로브 로이,,https://www.liquor.com/thmb/NkIssvW6V5-VVqOrmY5bPv31TPM=/735x0/__opt__aboutcom__coeus__resources__content_migration__liquor__2017__01__26151047__rob-roy-720x720-recipe-4abf8806cc164a719c28303dc06eabb6.jpg
Dry Rob Roy,Martini,"Scotch, 45ml","Dry Vermouth, 22.5ml","Angostura Bitter, 1 dash",,,,,,Olive,4,1,Stir,Brown,No,https://www.youtube.com/watch?v=bDc2MRr1HJg,드라이 로브 로이,,https://lh3.googleusercontent.com/proxy/es4Gc4O5QzZu9Ysa4GlUoNfcxxLAJlTn4i2YcMBvEEOX0BeyNUmA6MEIM2dkh_HKuXgLBYhHANY6vz8p8gSzfw_4yYN9q1Q
Perfect Rob Roy,Martini,"Scotch, 45ml","Sweet Vermouth, 22.5ml","Dry Vermouth, 22.5ml","Angostura Bitter, 1 dash",,,,,Maraschino cherry,4,1,Stir,Brown,No,https://www.youtube.com/watch?v=tWGSzG0LLXc,퍼펙트 로브 로이,,http://www.primermagazine.com/wp-content/uploads/2011/08/RobRoy/robroy-fullwidth.jpg
Southern Comfort Manhattan,Martini,"Southern Comfort, 45ml","Sweet Vermouth, 22.5ml","Angostura Bitter, 1 dash",,,,,,Maraschino cherry,3,3,Stir,Brown,No,https://www.youtube.com/watch?v=5XqeuuvTpqk,"서던 컴포트 맨하탄, 서던 컴포트 맨해튼",,https://i.pinimg.com/originals/f2/1e/c0/f21ec0ae3c097dbf422249880acf566e.jpg
B&B,Snifter,"Brandy, 45ml","Benedictine, 45ml",,,,,,,,3,3,Build,Brown,No,https://www.youtube.com/watch?v=ksTmYeBrkOw,비앤비,,https://www.thespruceeats.com/thmb/_4U_VEq9ZvHb31ZEvZ5T08vdfUg=/2768x2768/smart/filters:no_upscale()/brandy-and-benedictine-recipe-759285-Hero1-5b95c26c46e0fb00502f40df.jpg
French Connection,Snifter,"Cognac, 45ml","Amaretto, 45ml",,,,,,,Orange Pill,4,3,Build,Brown,No,https://www.youtube.com/watch?v=a6tpjwhGbNI,프렌치 커넥션,,https://i.ytimg.com/vi/a6tpjwhGbNI/maxresdefault.jpg
Black Russian,Old Fashioned,"Vodka, 30ml","Kahlua, 15ml",,,,,,,,3,2,Build,Brown,Yes,https://www.youtube.com/watch?v=uX0WqTvdFZk,블랙 러시안,,https://www.liquor.com/thmb/QOZuXd5sMdPAVREzFO3p25ub6Ng=/720x540/smart/filters:no_upscale()/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__02__22083816__black-russian-720x720-recipe-294769f33a6d4ccd9331030c158a1a53.jpg
Dirty Mother,Old Fashioned,"Brandy, 30ml","Kahlua, 15ml",,,,,,,,3,3,Build,Brown,No,https://www.youtube.com/watch?v=Pg3E_t_hR3I,더티 마더,,http://thumbnail.egloos.net/600x0/http://pds10.egloos.com/pds/200908/07/40/e0059340_4a7b7445bbe11.jpg
Brave Bull,Old Fashioned,"Tequila, 30ml","Kahlua, 15ml",,,,,,,,3,2,Build,Brown,No,https://www.youtube.com/watch?v=0AzLozoLzZ8,브레이브 불,,https://i.ytimg.com/vi/ujPCp1IVl-c/hqdefault.jpg
White Russian,Old Fashioned,"Vodka, 45ml","Kahlua, 15ml","Cream, 30ml",,,,,,,3,3,Build,"Brown, White",No,https://www.youtube.com/watch?v=Z0zqXFpuolw,화이트 러시안,,"https://www.liquor.com/thmb/5shs_5omoz8Q5DMCTrToTxOjFjc=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2017__12__20073201__white-russian-720x720-article-cbe4b9a832c64f8da0bb09407caefa7f.jpg"
Dirty White Mother,Old Fashioned,"Brandy, 45ml","Kahlua, 15ml","Cream, 30ml",,,,,,,3,3,Build,"Brown, White",No,https://www.youtube.com/watch?v=nVCt4jMrN1g,더티 화이트 마더,,http://www.bartenderjon.com/Bartender_Jon/Blog_and_drink_of_the_Day/Entries/2012/5/13_Drink_of_the_Day_-_Dirty_White_Mother_files/shapeimage_1.png
